fips,district,year,enrollment,cs_score,locale,is_rural,enrollment_log10
4003010,Anderson,2019,324,0.0125864954549111,41-Rural: Fringe,1,2.510545010206612
4003010,Anderson,2018,288,0.1339417908432234,41-Rural: Fringe,1,2.459392487759231
4003010,Anderson,2017,285,-0.1975358387618841,41-Rural: Fringe,1,2.45484486000851
4003010,Anderson,2016,282,-0.1362352802601303,41-Rural: Fringe,1,2.450249108319361
4003010,Anderson,2015,271,-0.0858668740623857,41-Rural: Fringe,1,2.432969290874406
4003010,Anderson,2014,293,-0.0403634201757747,41-Rural: Fringe,1,2.4668676203541096
4003060,Antlers,2024,959,-0.132384738768389,43-Rural: Remote,1,2.9818186071706636
4003060,Antlers,2023,965,-0.0949136689463414,43-Rural: Remote,1,2.9845273133437926
4003060,Antlers,2022,938,3.559437551454e-4,43-Rural: Remote,1,2.9722028383790646
4003060,Antlers,2019,1021,0.1634287278369174,43-Rural: Remote,1,3.0090257420869104
4003060,Antlers,2018,1011,0.1342830193657626,43-Rural: Remote,1,3.004751155591001
4003060,Antlers,2017,1025,-0.0888183366981649,43-Rural: Remote,1,3.010723865391773
4003060,Antlers,2016,1024,-0.0518348221526165,43-Rural: Remote,1,3.010299956639812
4003060,Antlers,2015,1025,0.0751649747191669,43-Rural: Remote,1,3.010723865391773
4003060,Antlers,2014,1003,-0.0195281243875166,43-Rural: Remote,1,3.0013009330204183
4003120,Arapaho-Butler,2024,485,0.3865360903456206,42-Rural: Distant,1,2.6857417386022635
4003120,Arapaho-Butler,2023,474,0.2832866867468309,42-Rural: Distant,1,2.6757783416740852
4003120,Arapaho-Butler,2022,484,0.262289296818747,42-Rural: Distant,1,2.6848453616444123
4003120,Arapaho-Butler,2019,464,0.2369713583919329,42-Rural: Distant,1,2.6665179805548807
4003120,Arapaho-Butler,2018,472,0.29348858707527,42-Rural: Distant,1,2.673941998634088
4003120,Arapaho-Butler,2017,456,0.2521794473626857,42-Rural: Distant,1,2.658964842664435
4003120,Arapaho-Butler,2016,434,0.3089312575137476,42-Rural: Distant,1,2.637489729512511
4003120,Arapaho-Butler,2015,400,0.2922893504260893,42-Rural: Distant,1,2.6020599913279625
4003120,Arapaho-Butler,2014,391,0.4822378285767916,42-Rural: Distant,1,2.5921767573958667
4003180,Ardmore,2024,2617,-0.6162576091653421,33-Town: Remote,0,3.417803722639881
4003180,Ardmore,2023,2591,-0.5770541313529192,33-Town: Remote,0,3.413467412985825
4003180,Ardmore,2022,2639,-0.5610415294294344,33-Town: Remote,0,3.4214393902200495
4003180,Ardmore,2019,2840,-0.3716648374205777,33-Town: Remote,0,3.4533183400470375
4003180,Ardmore,2018,2847,-0.3740855143884271,33-Town: Remote,0,3.454387467146955
4003180,Ardmore,2017,2965,-0.4679092712779526,33-Town: Remote,0,3.4720246977002813
4003180,Ardmore,2016,3054,-0.394079653328443,33-Town: Remote,0,3.484869032720402
4003180,Ardmore,2015,3146,-0.302336667222791,33-Town: Remote,0,3.497758718287268
4003180,Ardmore,2014,3178,-0.3460311246074047,33-Town: Remote,0,3.5021538928713607
4003210,Arkoma,2024,373,-0.5786314955243679,22-Suburb: Mid-size,0,2.571708831808688
