fips_full,district_name,year,cs_score,cs_score_se,cs_score_se_adj
4028800,Stonewall,2023,-0.1331615079067698,0.0560171106167667,0.0576121444308486
4028800,Stonewall,2024,0.0251929161995685,0.0562571524085208,0.0595683301628893
4028920,Straight,2014,-0.2538538062276758,0.1703873837034433,0.1707222182233608
4028920,Straight,2015,-0.0478164139230939,0.1745021501652471,0.1752556035444799
4028920,Straight,2016,0.1953865139099548,0.2117853865445285,0.2120791148765695
4028920,Straight,2018,-0.0733280097662044,0.2130621010850368,0.2133277802359838
4028980,Stratford,2014,-0.0117175182290247,0.038944776130445,0.0403845373583865
4028980,Stratford,2015,0.0665553305355737,0.0380355229169306,0.0413548928787131
4028980,Stratford,2016,-0.0175997398373977,0.0398470995177572,0.0413798544341551
4028980,Stratford,2017,-0.01969847546086,0.0395880739219411,0.0424408551716115
4028980,Stratford,2018,0.0674217080569726,0.0416109988191881,0.0429506475431076
4028980,Stratford,2019,8.341504353798e-4,0.0414876579540854,0.044045683346992
4028980,Stratford,2022,-0.3728958969789691,0.0375094482290125,0.0418034117860423
4028980,Stratford,2023,-0.3804900067457715,0.038567451363831697,0.0408496121006234
4028980,Stratford,2024,-0.347026095261589,0.0389474354037194,0.0435938239410854
4029010,Stringtown,2014,-0.1725554750768157,0.0683728290586212,0.0692030275586254
4029010,Stringtown,2015,-0.1471112297178022,0.0653270266322507,0.0673137918264621
4029010,Stringtown,2016,0.3933688734593204,0.0740645700812346,0.0749003441536281
4029010,Stringtown,2017,-0.0538316097261556,0.0679476472638074,0.0696483550382593
4029010,Stringtown,2018,-0.010313319438034,0.0701235058718573,0.0709266450454425
4029010,Stringtown,2019,-0.1109369251672754,0.0669262509934581,0.0685413709450552
4029010,Stringtown,2022,-0.5948314418917411,0.0730639574311191,0.0753585324034699
4029010,Stringtown,2023,-0.3387439936827638,0.0741112143606937,0.0753240638712926
4029010,Stringtown,2024,-0.2161442596758588,0.0779707764544404,0.0803925415830833
4029040,Strother,2014,-0.6158555255044825,0.045475500446253,0.046714413307218
4029040,Strother,2015,-0.4023126127705082,0.0464038868555044,0.049161436886486
4029040,Strother,2016,-0.3112243745539731,0.0474066428458213,0.0487020615469723
4029040,Strother,2017,-0.2977446584700731,0.049846470455132,0.0521409743645339
4029040,Strother,2018,-0.3411591015338619,0.0501996670419341,0.0513155870351575
4029040,Strother,2019,-0.3725360603440691,0.0505408183472404,0.0526609036971172
4029040,Strother,2022,-0.618920688175869,0.0560461091937094,0.0590062105736476
4029040,Strother,2023,-0.505490941686054,0.061181153775889,0.0626448408204446
4029040,Strother,2024,-0.5169969236210893,0.060395738545426,0.0634914482093999
4029070,Stroud,2014,-0.1787566366826911,0.0358510511813394,0.0374100673697262
4029070,Stroud,2015,-0.2071719372444927,0.0358705131998503,0.0393728317328856
4029070,Stroud,2016,-0.118643495101203,0.0377989780007726,0.0394114672515083
4029070,Stroud,2017,-0.2008429016001049,0.0365970855247912,0.0396655676848008
4029070,Stroud,2018,-0.1300743939398488,0.0376816723413755,0.039155987180565
4029070,Stroud,2019,-0.0938260380645592,0.0380133778912633,0.0407898683215855
4029070,Stroud,2022,-0.4305438357404284,0.04025134156515,0.0442802103461899
4029070,Stroud,2023,-0.4342430885949111,0.0403395425069021,0.0425267115321187
4029070,Stroud,2024,-0.4879496769421535,0.0399140171812895,0.0444595043700189
4029100,Stuart,2014,-0.2155047169911739,0.0582909088069822,0.0592625119223303
4029100,Stuart,2015,-0.0786267892621273,0.0532963730691406,0.055713818247994
4029100,Stuart,2016,-0.0366895309195479,0.0566108181275599,0.057699963102982
4029100,Stuart,2017,-0.0698215803912234,0.0557890956105974,0.0578483688611616
4029100,Stuart,2018,-0.0907383228248229,0.0572249651966234,0.0582063531188524
4029100,Stuart,2019,-0.0335953121032196,0.0569457989017762,0.0588355374884078
4029100,Stuart,2022,-0.0502340494361277,0.0615778662213396,0.0642837470818374
4029100,Stuart,2023,-0.1164917231663879,0.0666616421155987,0.0680074777772123
4029100,Stuart,2024,-0.1247861028216416,0.1139227820781838,0.1155937672961342
4029160,Sulphur,2014,0.1370082319109021,0.028671511225978,0.0305985428702384
4029160,Sulphur,2015,0.0458165837839916,0.0267068545211859,0.0312535156400248
4029160,Sulphur,2016,0.0099944951370653,0.0280308156630623,0.0301699791141857
4029160,Sulphur,2017,-0.0108182267653343,0.0279483003898225,0.0318609178387626
4029160,Sulphur,2018,0.0052097979519824,0.0275149380561475,0.0295017748258544
4029160,Sulphur,2019,0.0967448368984232,0.0288337182184535,0.0324064772119631
4029160,Sulphur,2022,-0.105534548653649,0.0293642222775213,0.034681754287696
4029160,Sulphur,2023,-0.2375882266029684,0.0282297515562614,0.0312755715694872
4029310,Sweetwater,2014,-0.0747397093574171,0.0773725217635955,0.078107121274942
4029310,Sweetwater,2015,-0.0185743429417435,0.0824080928151792,0.0839917848535241
4029310,Sweetwater,2016,0.063382327236045,0.0894090256078262,0.0901025797253039
4029310,Sweetwater,2017,-0.0470000157701234,0.0753473062273113,0.0768845052436501
4029310,Sweetwater,2018,0.0380394111401907,0.0738011114006272,0.0745646494366437
4029310,Sweetwater,2019,-0.1154107437578445,0.0818268334058486,0.083153034365661
4029310,Sweetwater,2022,-0.1964741590861605,0.1131243266969026,0.1146197182911212
4029310,Sweetwater,2023,-0.2147399964702972,0.1186637268615373,0.1194249663041167
4029310,Sweetwater,2024,-0.5103032629798381,0.1500865299995002,0.1513587964030183
4029380,Tahlequah,2014,-0.0687136049310218,0.0197736742669481,0.02247695406001
4029380,Tahlequah,2015,0.0832652948903996,0.0201283544375853,0.0258587860080582
4029380,Tahlequah,2016,0.0985443765292448,0.0209943017917199,0.0237752333476589
4029380,Tahlequah,2017,0.0375518173461341,0.0191965546031017,0.0245462481751998
4029380,Tahlequah,2018,5.264411871799e-4,0.0195720549241239,0.0222788741994452
4029380,Tahlequah,2019,0.0429657661322135,0.0193483608655809,0.0243547844821719
4029380,Tahlequah,2022,-0.1704956442247508,0.021736938208274,0.0285142247514949
4029380,Tahlequah,2023,-0.2222687457427982,0.0234695586778637,0.0270566570108644
4029380,Tahlequah,2024,-0.184275863165657,0.02247393289275,0.0298093344599856
4029400,Talihina,2014,-0.3205556514745594,0.0400432619927617,0.0414448802727356
4029400,Talihina,2015,-0.3308612971557486,0.043030079009401,0.0459903670457279
4029400,Talihina,2016,-0.3217439121118609,0.0421490832417244,0.04360098887791
4029400,Talihina,2017,-0.2795747915950819,0.042894459421204,0.0455405889277461
4029400,Talihina,2018,-0.372509906620243,0.0450097193037183,0.0462510295392577
4029400,Talihina,2019,-0.4808016078777906,0.0449738462747035,0.0473438835302826
4029400,Talihina,2022,-0.7384031764738992,0.0495281113287679,0.0528545205474732
4029400,Talihina,2023,-0.6652523476256504,0.0533761561094841,0.0550477660318191
4029400,Talihina,2024,-0.4905476224738091,0.0556474235796884,0.0589928344151789
4029430,Taloga,2014,-0.4740782538798324,0.1213394242743041,0.1218091587403016
4029430,Taloga,2015,-0.6176777159285379,0.0898686411948616,0.0913230465526433
4029430,Taloga,2016,-0.16303233125832511,0.0861939681098702,0.0869131816903462
4029430,Taloga,2017,0.0904073383578941,0.0910093410496571,0.0922860268358186
4029430,Taloga,2018,-0.0871386931474889,0.1044750593856058,0.1050158127867782
4029430,Taloga,2019,-0.0245260043308885,0.0936629087710424,0.0948237150634846
4029430,Taloga,2022,0.2010332136787573,0.127006582351783,0.128340322935501
4029430,Taloga,2023,0.2880252558780087,0.1152373245746293,0.1160210475697764
4029520,Tannehill,2014,-0.4515299604181777,0.0643718452385581,0.0652529672062298
4029520,Tannehill,2015,-0.517085256955219,0.0685425438087624,0.0704386717167609
4029520,Tannehill,2016,-0.1546139453822344,0.0676762562303569,0.0685899166814681
4029520,Tannehill,2017,-0.1366383537762466,0.0660418406495404,0.0677903776890785
4029520,Tannehill,2018,-0.0325309780386683,0.0733779993289504,0.0741458946075993
4029520,Tannehill,2019,-0.1190076592041466,0.0768548475413516,0.0782653438604386
4029520,Tannehill,2022,-0.4202453472460501,0.0803751608531179,0.0824665569347539
4029520,Tannehill,2023,-0.2723740115624538,0.074836428716529,0.0760377114799887
4029520,Tannehill,2024,-0.2395069683433717,0.0929266855007165,0.0949678242323606
4029610,Tecumseh,2014,-0.1786500718535774,0.0222503025582794,0.0246838253464776
4029610,Tecumseh,2015,-0.1567890187296073,0.022923017206813,0.028088981457314
4029610,Tecumseh,2016,-0.1503400352821538,0.0224502320897042,0.0250701801727751
4029610,Tecumseh,2017,-0.1720855997976644,0.0222010352589797,0.0269610192207025
4029610,Tecumseh,2018,-0.2163143363842543,0.0228476299401477,0.0252051005854712
4029610,Tecumseh,2019,-0.1685433534034683,0.0221645769002147,0.0266470435161921
4029610,Tecumseh,2022,-0.6427489008078885,0.0306677348616355,0.0357921289119832
4029610,Tecumseh,2023,-0.7687950437244437,0.0327537436207396,0.035412571570602
4029610,Tecumseh,2024,-0.8041295706734715,0.0330436767207178,0.0384109793223599
4029640,Temple,2014,-0.2285502221265474,0.0737115205789297,0.0744822363779338
4029640,Temple,2015,-0.5154970525942136,0.0681635227842716,0.0700699079477589
4029640,Temple,2016,-0.4759477744845221,0.065930102370973,0.0668676260357791
4029640,Temple,2017,-0.2938522161091363,0.071084393341619,0.0727117704886536
4029640,Temple,2018,-0.2462274788834239,0.0709088476118735,0.071703190802681
4029640,Temple,2019,-0.1742208203188074,0.0669009162013152,0.0685166333641963
4029640,Temple,2022,-0.8570545221044334,0.0907259188456493,0.0925837938350757
4029640,Temple,2023,-0.7104166298344964,0.0829842972419539,0.0840692339254429
4029640,Temple,2024,-0.7031000604734422,0.1048068313133992,0.1066207796409066
4029670,Tenkiller,2014,0.1625958370579517,0.0521000705150031,0.053184890875781
4029670,Tenkiller,2015,-0.0813776806386381,0.0531769921226445,0.0555996281701351
4029670,Tenkiller,2016,-0.0452450765299969,0.0529442710053512,0.0541072716490297
4029670,Tenkiller,2017,-0.067803722892556,0.0543021918039113,0.0564157657535321
