fips,district,year,enrollment,cs_score
4003630,Bartlesville,2017,6050,0.154409697709946
4003630,Bartlesville,2016,6099,0.2585427835795642
4003630,Bartlesville,2015,6069,0.3030170245159066
4003660,Battiest,2025,216,NA
4003660,Battiest,2024,225,-0.0568751418660186
4003660,Battiest,2023,225,0.0587957936251094
4003660,Battiest,2022,234,-0.0828738497173697
4003660,Battiest,2021,249,NA
4003660,Battiest,2020,239,NA
4003660,Battiest,2019,251,0.1245760414322217
4003660,Battiest,2018,269,0.1062448067145307
4003660,Battiest,2017,287,0.1279867824831442
4003660,Battiest,2016,278,0.1656401599550263
4003660,Battiest,2015,270,0.3210549337910348
4003690,Bearden,2025,141,NA
4003690,Bearden,2024,143,-0.3470920244345503
4003690,Bearden,2023,140,-0.4260203379055107
4003690,Bearden,2022,141,-0.399013204284448
4003690,Bearden,2021,139,NA
4003690,Bearden,2020,149,NA
4003690,Bearden,2019,146,-0.3711621910906433
4003690,Bearden,2018,150,-0.474213950233863
4003690,Bearden,2017,122,-0.3622296269664297
4003690,Bearden,2016,95,-0.3766255052313663
4003690,Bearden,2015,105,-0.4127901516456833
4003750,Beaver,2025,250,NA
4003750,Beaver,2024,242,-0.4184124214562216
4003750,Beaver,2023,260,-0.2680701171208574
4003750,Beaver,2022,281,-0.3254068557020471
4003750,Beaver,2021,275,NA
4003750,Beaver,2020,302,NA
4003750,Beaver,2019,312,-0.0023729976715289
4003750,Beaver,2018,347,-0.0113089510591829
4003750,Beaver,2017,377,-0.1157187741775113
4003750,Beaver,2016,369,-0.0229624791238137
4003750,Beaver,2015,393,-0.1828678319324203
4003810,Beggs,2025,948,NA
4003810,Beggs,2024,951,-0.2027573968969575
4003810,Beggs,2023,1073,-0.227126797173505
4003810,Beggs,2022,1050,-0.0942628314040798
4003810,Beggs,2021,944,NA
4003810,Beggs,2020,1011,NA
4003810,Beggs,2019,1054,-0.0388254386599653
4003810,Beggs,2018,1077,0.0256072279042736
4003810,Beggs,2017,1094,-0.0777866623612404
4003810,Beggs,2016,1130,-0.2611026462316226
4003810,Beggs,2015,1168,-0.3264942066960956
4003840,Belfonte,2025,135,NA
4003840,Belfonte,2024,143,-1.113989462040835
4003840,Belfonte,2023,162,-0.905446664817142
4003840,Belfonte,2022,166,-0.8760498173628026
4003840,Belfonte,2021,158,NA
4003840,Belfonte,2020,170,NA
4003840,Belfonte,2019,172,-0.7955113200580634
4003840,Belfonte,2018,194,-0.4402882794370028
4003840,Belfonte,2017,202,-0.5439268818936881
4003840,Belfonte,2016,207,-0.2353059283203805
4003840,Belfonte,2015,213,-0.4759081451393524
4003930,Bennington,2025,252,NA
4003930,Bennington,2024,270,0.2601407331859684
4003930,Bennington,2023,294,0.1851408129855516
4003930,Bennington,2022,315,-0.0223631604048344
4003930,Bennington,2021,304,NA
4003930,Bennington,2020,316,NA
4003930,Bennington,2019,344,0.0035285269295306
4003930,Bennington,2018,356,-0.0529592088917789
4003930,Bennington,2017,328,-0.1304242393349984
4003930,Bennington,2016,298,0.1390877216581075
4003930,Bennington,2015,286,0.0917167903379116
4004020,Berryhill,2025,1130,NA
4004020,Berryhill,2024,1139,-0.0990902227946125
4004020,Berryhill,2023,1150,-0.1682258641335489
4004020,Berryhill,2022,1123,-0.1271379833664239
4004020,Berryhill,2021,1133,NA
4004020,Berryhill,2020,1181,NA
4004020,Berryhill,2019,1221,0.127626796118834
4004020,Berryhill,2018,1241,0.0297020722574578
4004020,Berryhill,2017,1226,0.0847349004958528
4004020,Berryhill,2016,1258,0.1138008356127928
4004020,Berryhill,2015,1275,0.1051303888416813
4004110,Bethany,2025,1762,NA
4004110,Bethany,2024,1775,0.3713367281824571
4004110,Bethany,2023,1747,0.3470476848414419
4004110,Bethany,2022,1730,0.3418969477124277
4004110,Bethany,2021,1703,NA
4004110,Bethany,2020,1730,NA
4004110,Bethany,2019,1709,0.433240851546669
4004110,Bethany,2018,1723,0.3137511140731689
4004110,Bethany,2017,1713,0.3707613026728381
4004110,Bethany,2016,1718,0.424227797578276
4004110,Bethany,2015,1697,0.495507941052009
4004230,Bethel,2025,1160,NA
4004230,Bethel,2024,1185,-0.0150373143383303
4004230,Bethel,2023,1207,-0.0031322096223043
4004230,Bethel,2022,1194,-0.0197974767180301
4004230,Bethel,2021,1113,NA
4004230,Bethel,2020,1177,NA
4004230,Bethel,2019,1222,0.2179214823587917
4004230,Bethel,2018,1257,0.1554058446298716
4004230,Bethel,2017,1347,0.1640174983204678
4004230,Bethel,2016,1345,0.2147442374637053
4004230,Bethel,2015,1341,0.1084820643409616
4004350,Big Pasture,2025,217,NA
4004350,Big Pasture,2024,210,-0.0808800505772622
4004350,Big Pasture,2023,201,-0.0479794213731314
4004350,Big Pasture,2022,188,-0.246705581739141
4004350,Big Pasture,2021,191,NA
4004350,Big Pasture,2020,194,NA
4004350,Big Pasture,2019,195,0.1521505916587848
4004350,Big Pasture,2018,204,-0.0443586779142476
4004350,Big Pasture,2017,198,0.1240057726551419
4004350,Big Pasture,2016,197,0.3027333696641262
4004350,Big Pasture,2015,198,0.292433219665185
4004360,Billings,2025,71,NA
4004360,Billings,2024,77,NA
4004360,Billings,2023,59,NA
4004360,Billings,2022,59,NA
4004360,Billings,2021,74,NA
4004360,Billings,2020,74,NA
4004360,Billings,2019,70,-0.6924662342117442
4004360,Billings,2018,74,-0.5081121809610201
4004360,Billings,2017,74,-0.7576008366224066
4004360,Billings,2016,83,-0.4724331785087335
4004360,Billings,2015,63,-0.3997739393372466
4033603,Binger-Oney,2025,302,NA
4033603,Binger-Oney,2024,313,-0.1168394400720332
4033603,Binger-Oney,2023,290,-0.0904900364230651
4033603,Binger-Oney,2022,304,-0.2322757621299488
4033603,Binger-Oney,2021,331,NA
4033603,Binger-Oney,2020,338,NA
4033603,Binger-Oney,2019,338,-0.1127937524138281
4033603,Binger-Oney,2018,338,0.0917110917195543
4033603,Binger-Oney,2017,350,0.0112640762480968
4033603,Binger-Oney,2016,367,-0.0514702634562025
4033603,Binger-Oney,2015,396,-0.1080118793569397
4004470,Bishop,2025,647,NA
4004470,Bishop,2024,566,0.0042904417356962
4004470,Bishop,2023,570,-0.0579861531778524
4004470,Bishop,2022,565,-0.0236206611733256
4004470,Bishop,2021,492,NA
4004470,Bishop,2020,576,NA
4004470,Bishop,2019,584,0.3539773865478279
4004470,Bishop,2018,569,0.547192343618119
4004470,Bishop,2017,564,0.495146942039257
4004470,Bishop,2016,536,0.558804979174442
4004470,Bishop,2015,523,0.6923307008472132
4004500,Bixby,2025,8374,NA
4004500,Bixby,2024,8061,-0.0190849785288695
4004500,Bixby,2023,7800,-0.1020668398940952
4004500,Bixby,2022,7288,-0.0419834651128428
4004500,Bixby,2021,6560,NA
4004500,Bixby,2020,6726,NA
4004500,Bixby,2019,6661,0.3415007488027302
4004500,Bixby,2018,6424,0.3739903948093918
4004500,Bixby,2017,6204,0.3947085040497498
4004500,Bixby,2016,6046,0.4295742560220212
4004500,Bixby,2015,5796,0.4581637509689309
4004630,Blackwell,2025,1087,NA
4004630,Blackwell,2024,1079,-0.1853347492742353
4004630,Blackwell,2023,1121,-0.3606299040527597
4004630,Blackwell,2022,1107,-0.2701173353519344
4004630,Blackwell,2021,1090,NA
4004630,Blackwell,2020,1129,NA
4004630,Blackwell,2019,1207,-0.0835045951680458
4004630,Blackwell,2018,1289,-0.1018976837267542
4004630,Blackwell,2017,1306,-0.1189388543134939
4004630,Blackwell,2016,1360,-0.0094300647223236
4004630,Blackwell,2015,1378,0.0570031220207147
4004650,Blair,2025,180,NA
4004650,Blair,2024,177,-1.033566443927083
4004650,Blair,2023,199,-0.9359734921699416
4004650,Blair,2022,247,-0.7870693271290291
4004650,Blair,2021,243,NA
4004650,Blair,2020,243,NA
4004650,Blair,2019,259,-0.2525947629582003
4004650,Blair,2018,290,-0.0705079219792221
4004650,Blair,2017,294,-0.1699264451907889
4004650,Blair,2016,300,-0.3085585372331437
4004650,Blair,2015,296,-0.2531085920337799
4004680,Blanchard,2025,2230,NA
4004680,Blanchard,2024,2260,0.2660071249960156
4004680,Blanchard,2023,2240,0.1593282232824043
4004680,Blanchard,2022,2151,0.2128529346072383
4004680,Blanchard,2021,1937,NA
4004680,Blanchard,2020,2053,NA
4004680,Blanchard,2019,2058,0.1599152120367298
4004680,Blanchard,2018,2043,0.2038369853841989
4004680,Blanchard,2017,2016,0.2004389040791585
4004680,Blanchard,2016,1942,0.2470763209672081
4004680,Blanchard,2015,1937,0.2155008893410302
4004830,Bluejacket,2025,197,NA
4004830,Bluejacket,2024,208,-0.5363310277447515
4004830,Bluejacket,2023,202,-0.6023270077694982
4004830,Bluejacket,2022,210,-0.7666563765343091
4004830,Bluejacket,2021,202,NA
4004830,Bluejacket,2020,207,NA
4004830,Bluejacket,2019,205,-0.2321826784537284
4004830,Bluejacket,2018,219,-0.1505997914645771
4004830,Bluejacket,2017,209,-0.1812760180979625
4004830,Bluejacket,2016,224,-0.2675977967605989
4004830,Bluejacket,2015,193,-0.1475414259598412
4004860,Boise City,2025,281,NA
4004860,Boise City,2024,299,-0.6117323771078355
4004860,Boise City,2023,290,-0.6566218738922287
4004860,Boise City,2022,308,-0.42941254473436957
4004860,Boise City,2021,307,NA
4004860,Boise City,2020,308,NA
4004860,Boise City,2019,301,-0.2389061778391264
4004860,Boise City,2018,252,-0.1651766708854409
4004860,Boise City,2017,264,-0.1786216032959999
4004860,Boise City,2016,293,-0.1132370194018543
4004860,Boise City,2015,296,-0.0896204056720955
4004950,Bokoshe,2025,136,NA
4004950,Bokoshe,2024,135,NA
4004950,Bokoshe,2023,147,-0.2273656871073609
4004950,Bokoshe,2022,161,-0.1272351718491941
4004950,Bokoshe,2021,153,NA
4004950,Bokoshe,2020,164,NA
4004950,Bokoshe,2019,192,0.0945168166541284
4004950,Bokoshe,2018,206,-0.385169770662586
4004950,Bokoshe,2017,200,-0.6276567227767919
4004950,Bokoshe,2016,224,-0.2781750387440227
4004950,Bokoshe,2015,221,-0.1710814244038358
4005010,Boone-Apache,2025,504,NA
4005010,Boone-Apache,2024,503,-0.5496629940765833
4005010,Boone-Apache,2023,517,-0.5221006205232094
4005010,Boone-Apache,2022,507,-0.5425338157104772
4005010,Boone-Apache,2021,513,NA
4005010,Boone-Apache,2020,554,NA
4005010,Boone-Apache,2019,578,-0.150772848388539
4005010,Boone-Apache,2018,582,-0.0836238161136285
4005010,Boone-Apache,2017,566,-0.0856441090955489
4005010,Boone-Apache,2016,576,-0.1341108960131676
4005010,Boone-Apache,2015,603,-0.0448375550434287
4005040,Boswell,2025,278,NA
4005040,Boswell,2024,278,-0.7030187166897303
4005040,Boswell,2023,307,-0.617223409477446
4005040,Boswell,2022,301,-0.5000282819982964
4005040,Boswell,2021,282,NA
4005040,Boswell,2020,346,NA
4005040,Boswell,2019,339,-0.2654282485253179
4005040,Boswell,2018,359,-0.2602943983376772
4005040,Boswell,2017,362,-0.123183885610585
4005040,Boswell,2016,376,-0.0201836049322278
4005040,Boswell,2015,379,-0.0969980887956532
4005130,Bowlegs,2025,254,NA
4005130,Bowlegs,2024,255,-0.6099332814204438
4005130,Bowlegs,2023,231,-0.5936662653659783
